prompt_id,prompt_index,replicate_group_id,coordinate_id,prefix_family_id,prompt_text
r4_cover_locked_e2a94453df524e1d9014,30,first_token_event_locked_scale_shard_00,6,useful_next_move,"Give practical advice for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_e2a94453df524e1d9014,30,first_token_event_locked_scale_shard_00,22,clear_next_move,"Give practical advice for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_e2a94453df524e1d9014,30,first_token_event_locked_scale_shard_00,10,calm_forward,"Give practical advice for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_e2a94453df524e1d9014,30,first_token_event_locked_scale_shard_00,26,clearer_work,"Give practical advice for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_e2a94453df524e1d9014,30,first_token_event_locked_scale_shard_00,1,direct_next_step,"Give practical advice for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_e2a94453df524e1d9014,30,first_token_event_locked_scale_shard_00,17,helpful_start,"Give practical advice for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_e2a94453df524e1d9014,30,first_token_event_locked_scale_shard_00,3,low_risk_start,"Give practical advice for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_e2a94453df524e1d9014,30,first_token_event_locked_scale_shard_00,19,next_action,"Give practical advice for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_e2a94453df524e1d9014,30,first_token_event_locked_scale_shard_00,15,practical_option,"Give practical advice for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_e2a94453df524e1d9014,30,first_token_event_locked_scale_shard_00,31,reasonable_followup,"Give practical advice for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_e2a94453df524e1d9014,30,first_token_event_locked_scale_shard_00,8,safe_first_move,"Give practical advice for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_e2a94453df524e1d9014,30,first_token_event_locked_scale_shard_00,24,simple_followup,"Give practical advice for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_e2a94453df524e1d9014,30,first_token_event_locked_scale_shard_00,4,small_practical_step,"Give practical advice for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_e2a94453df524e1d9014,30,first_token_event_locked_scale_shard_00,20,steady_next_step,"Give practical advice for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_e2a94453df524e1d9014,30,first_token_event_locked_scale_shard_00,7,steady_progress,"Give practical advice for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_e2a94453df524e1d9014,30,first_token_event_locked_scale_shard_00,23,useful_habit,"Give practical advice for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_3ff3955a1d1b6f996d30,31,first_token_event_locked_scale_shard_00,6,clear_next_move,"Explain a practical approach for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_3ff3955a1d1b6f996d30,31,first_token_event_locked_scale_shard_00,22,calm_forward,"Explain a practical approach for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_3ff3955a1d1b6f996d30,31,first_token_event_locked_scale_shard_00,10,clearer_work,"Explain a practical approach for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_3ff3955a1d1b6f996d30,31,first_token_event_locked_scale_shard_00,26,direct_next_step,"Explain a practical approach for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_3ff3955a1d1b6f996d30,31,first_token_event_locked_scale_shard_00,1,helpful_start,"Explain a practical approach for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_3ff3955a1d1b6f996d30,31,first_token_event_locked_scale_shard_00,17,low_risk_start,"Explain a practical approach for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_3ff3955a1d1b6f996d30,31,first_token_event_locked_scale_shard_00,3,next_action,"Explain a practical approach for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_3ff3955a1d1b6f996d30,31,first_token_event_locked_scale_shard_00,19,practical_option,"Explain a practical approach for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_3ff3955a1d1b6f996d30,31,first_token_event_locked_scale_shard_00,15,reasonable_followup,"Explain a practical approach for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_3ff3955a1d1b6f996d30,31,first_token_event_locked_scale_shard_00,31,safe_first_move,"Explain a practical approach for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_3ff3955a1d1b6f996d30,31,first_token_event_locked_scale_shard_00,8,simple_followup,"Explain a practical approach for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_3ff3955a1d1b6f996d30,31,first_token_event_locked_scale_shard_00,24,small_practical_step,"Explain a practical approach for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_3ff3955a1d1b6f996d30,31,first_token_event_locked_scale_shard_00,4,steady_next_step,"Explain a practical approach for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_3ff3955a1d1b6f996d30,31,first_token_event_locked_scale_shard_00,20,steady_progress,"Explain a practical approach for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_3ff3955a1d1b6f996d30,31,first_token_event_locked_scale_shard_00,7,useful_habit,"Explain a practical approach for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_3ff3955a1d1b6f996d30,31,first_token_event_locked_scale_shard_00,23,useful_next_move,"Explain a practical approach for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_314da451d999e1c00c45,32,first_token_event_locked_scale_shard_00,6,calm_forward,"Give maintenance guidance for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_314da451d999e1c00c45,32,first_token_event_locked_scale_shard_00,22,clearer_work,"Give maintenance guidance for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_314da451d999e1c00c45,32,first_token_event_locked_scale_shard_00,10,direct_next_step,"Give maintenance guidance for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_314da451d999e1c00c45,32,first_token_event_locked_scale_shard_00,26,helpful_start,"Give maintenance guidance for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_314da451d999e1c00c45,32,first_token_event_locked_scale_shard_00,1,low_risk_start,"Give maintenance guidance for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_314da451d999e1c00c45,32,first_token_event_locked_scale_shard_00,17,next_action,"Give maintenance guidance for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_314da451d999e1c00c45,32,first_token_event_locked_scale_shard_00,3,practical_option,"Give maintenance guidance for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_314da451d999e1c00c45,32,first_token_event_locked_scale_shard_00,19,reasonable_followup,"Give maintenance guidance for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_314da451d999e1c00c45,32,first_token_event_locked_scale_shard_00,15,safe_first_move,"Give maintenance guidance for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_314da451d999e1c00c45,32,first_token_event_locked_scale_shard_00,31,simple_followup,"Give maintenance guidance for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_314da451d999e1c00c45,32,first_token_event_locked_scale_shard_00,8,small_practical_step,"Give maintenance guidance for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_314da451d999e1c00c45,32,first_token_event_locked_scale_shard_00,24,steady_next_step,"Give maintenance guidance for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_314da451d999e1c00c45,32,first_token_event_locked_scale_shard_00,4,steady_progress,"Give maintenance guidance for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
r4_cover_locked_314da451d999e1c00c45,32,first_token_event_locked_scale_shard_00,20,useful_habit,"Give maintenance guidance for a new team working on document scanning routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
