artifact_group,source_path,staging_decision,planned_supplement_path,readiness_decision,derivative_path,derivative_status,remaining_action,manual_review_required,publication_blocker,claim_scope_guard
manuscript_source,manuscripts/69db2644566dcc36c9da320e/main.tex,direct_include_candidate,manuscript_source/main.tex,ready_for_final_license_scope_review,,not_required,final license and scope check before public bundle construction,False,False,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_01_introduction.tex,direct_include_candidate,manuscript_source/section_01_introduction.tex,ready_for_final_license_scope_review,,not_required,final license and scope check before public bundle construction,False,False,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_02_related_work.tex,direct_include_candidate,manuscript_source/section_02_related_work.tex,ready_for_final_license_scope_review,,not_required,final license and scope check before public bundle construction,False,False,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_03_problem_setup.tex,direct_include_candidate,manuscript_source/section_03_problem_setup.tex,ready_for_final_license_scope_review,,not_required,final license and scope check before public bundle construction,False,False,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_04_tokenizer_alignment.tex,direct_include_candidate,manuscript_source/section_04_tokenizer_alignment.tex,ready_for_final_license_scope_review,,not_required,final license and scope check before public bundle construction,False,False,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_05_bucket_level_injection.tex,direct_include_candidate,manuscript_source/section_05_bucket_level_injection.tex,ready_for_final_license_scope_review,,not_required,final license and scope check before public bundle construction,False,False,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_06_deterministic_verification.tex,direct_include_candidate,manuscript_source/section_06_deterministic_verification.tex,ready_for_final_license_scope_review,,not_required,final license and scope check before public bundle construction,False,False,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_07_experiments.tex,direct_include_candidate,manuscript_source/section_07_experiments.tex,ready_for_final_license_scope_review,,not_required,final license and scope check before public bundle construction,False,False,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_08_discussion_limitations.tex,direct_include_candidate,manuscript_source/section_08_discussion_limitations.tex,ready_for_final_license_scope_review,,not_required,final license and scope check before public bundle construction,False,False,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_09_conclusion.tex,direct_include_candidate,manuscript_source/section_09_conclusion.tex,ready_for_final_license_scope_review,,not_required,final license and scope check before public bundle construction,False,False,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/appendix/proofs.tex,direct_include_candidate,manuscript_source/appendix/proofs.tex,ready_for_final_license_scope_review,,not_required,final license and scope check before public bundle construction,False,False,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/appendix/formal_substrate_gap.tex,direct_include_candidate,manuscript_source/appendix/formal_substrate_gap.tex,ready_for_final_license_scope_review,,not_required,final license and scope check before public bundle construction,False,False,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/appendix/attack_examples.tex,direct_include_candidate,manuscript_source/appendix/attack_examples.tex,ready_for_final_license_scope_review,,not_required,final license and scope check before public bundle construction,False,False,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/appendix/extended_related_work.tex,direct_include_candidate,manuscript_source/appendix/extended_related_work.tex,ready_for_final_license_scope_review,,not_required,final license and scope check before public bundle construction,False,False,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/appendix/reproducibility.tex,direct_include_candidate,manuscript_source/appendix/reproducibility.tex,ready_for_final_license_scope_review,,not_required,final license and scope check before public bundle construction,False,False,preserves VSG substrate-gap claim boundary
