source_id,model_family,candidate_arm,rank_index,transform_id,query_cost_to_here,original_score,rewrite_score,threshold,score_delta,original_token_count,rewrite_token_count,length_ratio,token_jaccard,starts_uppercase,ends_with_sentence_punctuation,isolated_fragment_count,broken_graft_marker_count,rewrite_opener_present,rewrite_phrase_present,proxy_quality_status,proxy_quality_fail_reasons,claim_scope
qwen_locked_adopted_870210_plus_870987,qwen,raw,1,prepend_opener_append_phrase_graft,34,15.602531848744329,43.925642218441936,2.9071820138637525,28.32311,32,41,1.28125,0.377778,True,False,2,2,True,True,FAIL_PROXY_READABILITY,does_not_end_with_sentence_punctuation;isolated_single_letter_fragment;known_broken_graft_marker,source_mismatch_public_predicate_guided_rewrite_accept_not_protected_success_not_codeword_recovery
qwen_locked_adopted_870210_plus_870987,qwen,raw,2,prepend_opener_append_phrase_graft,68,15.127818801282725,42.495813360292985,2.9071820138637525,27.367995,35,45,1.285714,0.38,True,False,2,2,True,True,FAIL_PROXY_READABILITY,does_not_end_with_sentence_punctuation;isolated_single_letter_fragment;known_broken_graft_marker,source_mismatch_public_predicate_guided_rewrite_accept_not_protected_success_not_codeword_recovery
qwen_locked_adopted_870210_plus_870987,qwen,raw,3,prepend_opener_append_phrase_graft,102,13.221688128000626,41.74763722745745,2.9071820138637525,28.525949,32,43,1.34375,0.346939,True,False,2,2,True,True,FAIL_PROXY_READABILITY,does_not_end_with_sentence_punctuation;isolated_single_letter_fragment;known_broken_graft_marker,source_mismatch_public_predicate_guided_rewrite_accept_not_protected_success_not_codeword_recovery
qwen_locked_adopted_870210_plus_870987,qwen,raw,4,prepend_opener_append_phrase_graft,136,12.804569815801484,41.68358625664403,2.9071820138637525,28.879016,36,46,1.277778,0.641026,True,False,0,0,True,True,FAIL_PROXY_READABILITY,does_not_end_with_sentence_punctuation,source_mismatch_public_predicate_guided_rewrite_accept_not_protected_success_not_codeword_recovery
qwen_locked_adopted_870210_plus_870987,qwen,raw,5,prepend_opener_append_phrase_graft,170,12.02197588831129,41.174365612893425,2.9071820138637525,29.15239,33,42,1.272727,0.354167,True,False,2,2,True,True,FAIL_PROXY_READABILITY,does_not_end_with_sentence_punctuation;isolated_single_letter_fragment;known_broken_graft_marker,source_mismatch_public_predicate_guided_rewrite_accept_not_protected_success_not_codeword_recovery
qwen_locked_adopted_870210_plus_870987,qwen,raw,6,prepend_opener_append_phrase_graft,204,13.009771416620433,41.1505602295241,2.9071820138637525,28.140789,34,43,1.264706,0.404255,True,False,2,2,True,True,FAIL_PROXY_READABILITY,does_not_end_with_sentence_punctuation;isolated_single_letter_fragment;known_broken_graft_marker,source_mismatch_public_predicate_guided_rewrite_accept_not_protected_success_not_codeword_recovery
qwen_locked_adopted_870210_plus_870987,qwen,raw,7,prepend_opener_append_phrase_graft,238,13.250636877270225,41.14228845212055,2.9071820138637525,27.891652,37,48,1.297297,0.4,True,False,2,1,True,True,FAIL_PROXY_READABILITY,does_not_end_with_sentence_punctuation;isolated_single_letter_fragment;known_broken_graft_marker,source_mismatch_public_predicate_guided_rewrite_accept_not_protected_success_not_codeword_recovery
qwen_locked_adopted_870210_plus_870987,qwen,raw,8,prepend_opener_append_phrase_graft,272,12.735279720063797,41.06653130272217,2.9071820138637525,28.331252,37,46,1.243243,0.408163,True,False,2,1,True,True,FAIL_PROXY_READABILITY,does_not_end_with_sentence_punctuation;isolated_single_letter_fragment;known_broken_graft_marker,source_mismatch_public_predicate_guided_rewrite_accept_not_protected_success_not_codeword_recovery
qwen_locked_adopted_870210_plus_870987,qwen,raw,9,prepend_opener_append_phrase_graft,306,13.657470648335178,40.94255336327955,2.9071820138637525,27.285083,38,45,1.184211,0.586957,True,False,0,0,True,True,FAIL_PROXY_READABILITY,does_not_end_with_sentence_punctuation,source_mismatch_public_predicate_guided_rewrite_accept_not_protected_success_not_codeword_recovery
qwen_locked_adopted_870210_plus_870987,qwen,raw,10,prepend_opener_append_phrase_graft,340,13.667819004060139,40.75507597567459,2.9071820138637525,27.087257,35,45,1.285714,0.636364,True,False,0,0,True,True,FAIL_PROXY_READABILITY,does_not_end_with_sentence_punctuation,source_mismatch_public_predicate_guided_rewrite_accept_not_protected_success_not_codeword_recovery
